Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,6975234.0,0.791,0.592,0.862
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,5587428.0,0.694,0.163,0.77
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,5349142.0,0.626,0.534,0.88
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,5202213.0,0.836,0.51,0.544
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,5161579.0,0.74,0.473,0.613
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,4702827.0,0.653,0.55,0.809
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,4505186.0,0.758,0.373,0.448
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,4452757.0,0.765,0.394,0.523
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,4165153.0,0.737,0.565,0.636
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,4146463.0,0.825,0.931,0.652
Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,4005707.0,0.586,0.267,0.624
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,3998220.0,0.553,0.443,0.586
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,3984842.0,0.596,0.152,0.854
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,3981911.0,0.921,0.711,0.537
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,3916447.0,0.851,0.448,0.541
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,3893020.0,0.68,0.341,0.578
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,3792255.0,0.816,0.65,0.726
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,3754637.0,0.835,0.35,0.626
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,3754010.0,0.672,0.754,0.735
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,3748600.0,0.6,0.0793,0.688
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,3612860.0,0.747,0.687,0.834
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,3422735.0,0.781,0.486,0.768
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,3227124.0,0.687,0.671,0.792
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,3160859.0,0.69,0.669,0.784
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,3053030.0,0.762,0.608,0.7
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,2976280.0,0.599,0.168,0.448
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,2915243.0,0.689,0.312,0.505
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,2854185.0,0.52,0.286,0.761
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,2817774.0,0.56,0.319,0.68
La même,7HK0UeyxUWJjc6ndRZVKFg,GIMS,2807028.0,0.682,0.409,0.763
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,2753655.0,0.842,0.617,0.801
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,2642367.0,0.854,0.294,0.569
I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,Clean Bandit,2593527.0,0.638,0.33,0.658
Ellie,2NPiBHafyMwJXvSemJ2S0F,Regi,2578181.0,0.791,0.567,0.702
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,2558466.0,0.884,0.342,0.559
Djadja,3XfnssSD9HMQ9LhVOJvXTE,Aya Nakamura,2511506.0,0.811,0.541,0.797
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,2498711.0,0.511,0.218,0.566
The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,2478280.0,0.748,0.431,0.652
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,2454757.0,0.801,0.754,0.795
Zoutelande,1dCaSvUR92UgJZwmNxnqZV,BLØF,2450892.0,0.67,0.893,0.643
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,2424028.0,0.703,0.366,0.696
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,2383503.0,0.585,0.129,0.52
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,2337135.0,0.595,0.711,0.773
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,2326349.0,0.872,0.437,0.391
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,2321697.0,0.669,0.52,0.308
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,2309712.0,0.752,0.582,0.764
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,2308821.0,0.609,0.362,0.726
Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,2306724.0,0.681,0.476,0.372
Melody (feat. James Blunt),5r49JKf2vWBF0CQjZewJ0O,Lost Frequencies,2296701.0,0.618,0.334,0.659
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,2287166.0,0.708,0.338,0.648
