Track Name,spotify_id,Artist,Streams
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,7614646.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6837819.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,6061935.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,5830839.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,5596822.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,5375887.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,5317055.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,5026317.0
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,4576290.0
Wieder Lila,2kkcJ8tSDV42LdWcPjy6We,Samra,4380410.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,4207706.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,4144489.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,4058059.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,3760231.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,3756279.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3670888.0
Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,DJ Snake,3660504.0
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,3607980.0
She Got Me,6TNK1SFt77MvTFoiTloiFQ,Luca Hänni,3583168.0
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,3444924.0
Bad Liar,2RSHsoi04658QL5xgQVov3,Imagine Dragons,3311581.0
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,3308113.0
Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,3195633.0
Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,3192079.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,3177184.0
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,3174282.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,3141037.0
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,3094897.0
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,2992157.0
Soldi,4szQkW1CDHqbRZGltXJdd3,Mahmood,2918110.0
500 PS,4UOXo3xWnxYdTf3sFyRaUG,Bonez MC,2889060.0
HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,2882510.0
China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2880081.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,2753602.0
Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,2733406.0
110,67ojvEGRPAUCOohuMPqoRC,Capital Bra,2728845.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,2715107.0
Never Go Back,2QrXzOqLCVDRZHkToA0tSR,Dennis Lloyd,2655398.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,2618753.0
Hola Señorita,5vLEmh5EolySKTvXsyWSOg,GIMS,2570930.0
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,2525165.0
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,2509967.0
Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,2489087.0
Tausend Tattoos,2PAYSgrVOBz8RJqp9B7QLu,Sido,2422970.0
when the party's over,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,2419715.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,2316301.0
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,2311520.0
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,2288122.0
All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,2274713.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,2241763.0
